BusinessEntityID,Title,FirstName,MiddleName,LastName,PhoneNumber,PhoneNumberType,EmailAddress,AddressType,Address,City,StateProvinceName,PostalCode,CountryRegionName
14324,Mr.,David,R.,Robinett,238-555-0100,Home,david22@adventure-works.com,Home,Pappelallee 6667,Solingen,Nordrhein-Westfalen,42651,Germany
22814,Ms.,Rebecca,A.,Robinson,648-555-0100,Cell,rebecca3@adventure-works.com,Home,1861 Chinquapin Ct,Seaford,Victoria,3198,Australia
11407,Ms.,Dorothy,B.,Robinson,423-555-0100,Cell,dorothy3@adventure-works.com,Home,4693 Mills Dr.,Geelong,Victoria,3220,Australia
28387,Ms.,Carol Ann,F.,Rockne,439-555-0100,Cell,carolann0@adventure-works.com,Home,1312 Skycrest Drive,Lancaster,England,LA1 1LN,United Kingdom
19897,Mr.,Scott,M.,Rodgers,989-555-0100,Cell,scott10@adventure-works.com,Home,9860 Brookview Drive,East Brisbane,Queensland,4169,Australia
15675,Mr.,Jim,,Rodman,899-555-0100,Home,jim4@adventure-works.com,Home,2377 Joyce Dr,Esher-Molesey,England,EM15,United Kingdom
24165,Mr.,Eric,,Rothenberg,326-555-0100,Home,eric9@adventure-works.com,Home,9277 Country View Lane,Concord,California,94519,United States
27036,Mr.,Michael,L.,Rothkugel,358-555-0100,Cell,michael22@adventure-works.com,Home,3552 Mildred Ln.,St. Leonards,New South Wales,2065,Australia
18546,Mr.,Pablo,,Rovira Diez,786-555-0100,Cell,pablo0@adventure-works.com,Home,15  rue Descartes,East Brisbane,Queensland,4169,Australia
11453,Ms.,Linda,R.,Rousey,369-555-0100,Home,linda10@adventure-works.com,Home,5966 Sepulveda Ct.,Seaford,Victoria,3198,Australia
17195,Mr.,Luke,J.,Roy,583-555-0100,Home,luke0@adventure-works.com,Home,8625 Woodcrest Drive,Beverly Hills,California,90210,United States
17026,Ms.,Lisa,K.,Roy,953-555-0100,Cell,lisa0@adventure-works.com,Home,6030 Winter Drive,Rockhampton,Queensland,4700,Australia
22768,Mr.,Michael,,Ruggiero,227-555-0100,Cell,michael23@adventure-works.com,Home,5501  rue Lauriston,Saint-Denis,Seine Saint Denis,93400,France
28433,Ms.,Pearlie,J.,Rusek,633-555-0100,Home,pearlie0@adventure-works.com,Home,5154 Brannan Pl.,Seaford,Victoria,3198,Australia
27082,Ms.,Andrea,,Rusko,587-555-0100,Cell,andrea0@adventure-works.com,Home,4  avenue des Ternes,Pantin,Seine Saint Denis,93500,France
15844,Mr.,Andy,,Ruth,856-555-0100,Cell,andy2@adventure-works.com,Home,Kurfürstenstr 5444,Hamburg,Hessen,22001,Germany
12758,Ms.,Justine,J.,Ryan,498-555-0100,Home,justine0@adventure-works.com,Home,2342 Tahoe Place,Warrnambool,Victoria,3280,Australia
21463,Ms.,Deanna,N.,Sabella,529-555-0100,Home,deanna2@adventure-works.com,Home,Carlsplatz 4641,Salzgitter,Hessen,38231,Germany
18377,Mr.,Lane,,Sacksteder,114-555-0100,Home,lane1@adventure-works.com,Home,70  rue Georges-Clémenceau,Paris,Seine (Paris),75012,France
25562,Mr.,Peter,,Saddow,132-555-0100,Home,peter5@adventure-works.com,Home,15  avenue de la Gare,Boulogne-sur-Mer,Pas de Calais,62200,France
14155,Ms.,Sharon,,Salavaria,109-555-0100,Cell,sharon4@adventure-works.com,Home,5652 East View Place,East Brisbane,Queensland,4169,Australia
11576,Mr.,Irving,W,Schmidt,111-555-0100,Cell,irving0@adventure-works.com,Home,1408 Bonifacio St.,Coffs Harbour,New South Wales,2450,Australia
17149,Mr.,Raymond,,Sam,313-555-0100,Cell,raymond1@adventure-works.com,Home,Kalkweg 43,Stuttgart,Saarland,70452,Germany
25639,,Mandar,,Samant,129-555-0100,Home,mandar2@adventure-works.com,Home,1005 Valley Oak Plaza,London,England,SW6 SBY,United Kingdom
12804,Mr.,John,J,Sandstone,114-555-0100,Cell,john27@adventure-works.com,Home,2286 Sunset Way,Cliffside,British Columbia,V8Y 1L1,Canada
15798,Ms.,Madalena,J.,Sanchez,749-555-0100,Cell,madalena0@adventure-works.com,Home,6537 N Ranchford Court,Lavender Bay,New South Wales,2060,Australia
12927,Mr.,Thomas,T.,Sanchez,127-555-0100,Cell,thomas4@adventure-works.com,Home,8645 Michigan Blvd,Colma,California,94014,United States
26913,Mr.,Ken,,Sánchez,967-555-0100,Home,ken3@adventure-works.com,Home,2  rue Malar,Les Ulis,Essonne,91940,France
